"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"8,138,293","+29,626","439,585",+989,"4,249,618","3,449,090","54,557","1,044",56.4,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
USA,"2,182,979",+29,"118,286",+3,"890,015","1,174,678","16,716","6,597",357,"25,260,276","76,333","330,922,877"
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"891,556",,"44,118",,"464,774","382,664","8,318","4,196",208,"1,628,482","7,664","212,496,348"
Russia,"545,458","+8,248","7,284",+193,"294,306","243,868","2,300","3,738",50,"15,395,417","105,497","145,932,063"
India,"344,527","+1,501","9,924",+9,"180,464","154,139","8,944",250,7,"5,921,069","4,292","1,379,418,901"
UK,"296,857",,"41,736",,N/A,N/A,392,"4,374",615,"6,866,481","101,169","67,871,466"
Spain,"291,189",,"27,136",,N/A,N/A,617,"6,228",580,"4,826,516","103,232","46,754,084"
,,,,,,,,,,,,
Italy,"237,290",,"34,371",,"177,010","25,909",207,"3,924",568,"4,648,825","76,884","60,465,149"
Peru,"232,992",,"6,860",,"119,409","106,723","1,121","7,071",208,"1,376,478","41,773","32,951,046"
Iran,"189,876",,"8,950",,"150,590","30,336","2,765","2,262",107,"1,269,194","15,119","83,944,885"
Germany,"188,044",,"8,885",,"173,100","6,059",425,"2,245",106,"4,694,147","56,034","83,773,297"
Turkey,"179,831",,"4,825",,"152,364","22,642",722,"2,133",57,"2,674,203","31,723","84,299,464"
Chile,"179,436",,"3,362",,"148,792","27,282","1,723","9,390",176,"858,958","44,950","19,109,226"
France,"157,372",,"29,436",,"73,044","54,892",846,"2,411",451,"1,384,633","21,215","65,267,844"
Mexico,"150,264","+3,427","17,580",+439,"113,006","19,678",378,"1,166",136,"415,097","3,221","128,873,820"
Pakistan,"148,921","+4,443","2,839",+110,"56,390","89,692",111,675,13,"922,665","4,181","220,685,460"
Saudi Arabia,"132,048",,"1,011",,"87,890","43,147","1,897","3,796",29,"1,126,653","32,385","34,788,836"
Canada,"99,147",,"8,175",,"61,042","29,930","1,942","2,628",217,"2,183,476","57,874","37,728,057"
Bangladesh,"94,481","+3,862","1,262",+53,"36,264","56,955",1,574,8,"533,717","3,242","164,618,467"
China,"83,221",+40,"4,634",,"78,377",210,3,58,3,,,"1,439,323,776"
Qatar,"80,876",,76,,"58,681","22,119",238,"28,804",27,"295,338","105,185","2,807,805"
South Africa,"73,533",,"1,568",,"39,867","32,098",208,"1,241",26,"1,148,933","19,383","59,275,335"
Belgium,"60,155",+55,"9,663",+2,"16,625","33,867",76,"5,191",834,"1,045,014","90,184","11,587,589"
Belarus,"54,680",,312,,"30,420","23,948",92,"5,787",33,"733,788","77,654","9,449,441"
Colombia,"53,063",,"1,726",,"19,952","31,385",335,"1,043",34,"507,588","9,980","50,859,253"
Sweden,"52,383",,"4,891",,N/A,N/A,272,"5,188",484,"325,000","32,189","10,096,665"
Netherlands,"48,948",,"6,065",,N/A,N/A,87,"2,857",354,"476,149","27,791","17,133,384"
Ecuador,"47,322",,"3,929",,"23,349","20,044",230,"2,684",223,"134,833","7,648","17,630,739"
Egypt,"46,289",,"1,672",,"12,329","32,288",41,453,16,"135,000","1,320","102,241,886"
UAE,"42,636",,291,,"28,129","14,216",1,"4,313",29,"2,626,000","265,652","9,885,105"
Singapore,"40,969",+151,26,,"30,366","10,577",2,"7,005",4,"488,695","83,560","5,848,403"
Indonesia,"40,400","+1,106","2,231",+33,"15,703","22,466",,148,8,"540,115","1,976","273,397,681"
Portugal,"37,036",,"1,520",,"22,852","12,664",73,"3,632",149,"975,737","95,681","10,197,799"
Kuwait,"36,431",,298,,"27,531","8,602",184,"8,536",70,"337,387","79,056","4,267,681"
Argentina,"32,785",,854,,"9,891","22,040",274,726,19,"239,941","5,311","45,178,019"
Ukraine,"32,476",+666,912,+11,"14,528","17,036",319,742,21,"507,251","11,596","43,742,991"
Switzerland,"31,146",+15,"1,939",,"28,900",307,15,"3,600",224,"465,722","53,828","8,651,973"
Poland,"30,195",+407,"1,272",+16,"14,654","14,269",80,798,34,"1,221,133","32,264","37,848,168"
Philippines,"26,781",+361,"1,103",+5,"6,552","19,126",417,245,10,"516,590","4,717","109,515,480"
Afghanistan,"26,310",+783,491,+13,"5,508","20,311",19,677,13,"59,172","1,522","38,884,583"
Ireland,"25,321",,"1,706",,"22,698",917,28,"5,131",346,"367,780","74,519","4,935,367"
Oman,"25,269",+745,114,+6,"11,089","14,066",105,"4,955",22,"145,670","28,563","5,099,935"
Dominican Republic,"23,271",,605,,"14,025","8,641",145,"2,146",56,"110,781","10,217","10,843,205"
Romania,"22,415",+250,"1,437",+10,"16,071","4,907",173,"1,165",75,"573,638","29,812","19,242,157"
Panama,"21,422",,448,,"13,766","7,208",102,"4,968",104,"93,646","21,719","4,311,625"
Iraq,"21,315",,652,,"9,271","11,392",150,531,16,"380,005","9,458","40,177,478"
Israel,"19,338",+101,302,,"15,438","3,598",36,"2,103",33,"772,074","83,943","9,197,590"
Bolivia,"19,073",+614,632,+21,"3,430","15,011",71,"1,635",54,"47,372","4,061","11,665,832"
Bahrain,"19,013",,47,+1,"13,267","5,699",19,"11,196",28,"432,409","254,625","1,698,218"
Japan,"17,502",,925,,"15,686",891,71,138,7,"340,918","2,695","126,490,626"
Armenia,"17,489",+425,293,+8,"6,571","10,625",10,"5,902",99,"85,556","28,875","2,963,027"
Austria,"17,189",+54,681,+3,"16,089",419,12,"1,909",76,"532,700","59,161","9,004,290"
Nigeria,"16,658",,424,,"5,349","10,885",7,81,2,"94,323",458,"205,878,210"
Kazakhstan,"15,192",+383,81,,"9,488","5,623",77,810,4,"1,159,989","61,811","18,766,765"
Serbia,"12,367",,255,,"11,511",601,15,"1,415",29,"308,013","35,247","8,738,642"
